obj_ID,alpha,delta,u,g,r,i,z,run_ID,rerun_ID,cam_col,field_ID,spec_obj_ID,class,redshift,plate,MJD,fiber_ID
1237655692479496200,227.627875524731,-1.72941982232714,15.9212,16.25174,16.7149,17.05388,17.34629,2379,301,4,123,4522794990775326700,STAR,-5.664774e-4,4017,55329,200
1237661150842257700,197.928061623219,48.9552124471213,20.38808,19.23534,19.1998,19.20285,19.28846,3650,301,3,65,3646799775875047400,STAR,-8.981283e-4,3239,54888,36
1237661355933630700,184.387587805119,46.4029249210543,21.54966,20.03807,20.03878,20.14025,20.04181,3698,301,1,167,7476084889965844e3,STAR,3.566642e-5,6640,56385,398
1237651190825353500,144.351037827104,57.9482647548072,23.65694,21.26589,20.77321,20.5825,20.46478,1331,301,3,252,6434662115316095e3,STAR,-3.818255e-4,5715,56657,524
1237654948375102e3,234.068033146507,56.675485641271,23.65581,21.19997,20.90771,20.9851,20.99269,2206,301,2,103,7646079833718675e3,STAR,-6.810196e-4,6791,56429,340
1237672794495713300,0.157323884994213,-3.89589803932299,20.59933,19.33033,18.75489,18.48929,18.33769,6361,301,3,21,2961205888032991e3,STAR,-4.794123e-4,2630,54327,324
1237654604252709e3,161.753629267719,3.7097095049184,20.14573,19.20504,18.90301,18.81072,18.77375,2126,301,1,284,5375162248687016e3,STAR,0.001085717,4774,55659,422
1237660241923866600,48.9742027092595,0.9167248864977,20.77728,18.55986,17.43346,16.96136,16.67863,3438,301,6,127,1705842037028317200,STAR,-6.938731e-5,1515,52932,377
1237661386530685200,211.609063198364,53.9160646203902,22.2423,20.29867,19.39464,19.01638,18.72779,3705,301,2,97,79118831966395e5,STAR,2.532396e-4,7027,56448,671
1237671123224167200,136.191127968356,10.8890976097372,25.39633,24.60185,23.20131,20.3499,18.79987,5972,301,2,137,2900384474153904e3,STAR,-2.410715e-5,2576,54086,241
1237655129838977500,247.761943349511,44.6439124581869,22.63792,21.50914,21.49792,21.615,21.28643,2248,301,4,126,6789355211192556e3,STAR,3.272693e-4,6030,56097,650
1237662301901881600,226.058217849009,44.3710917203741,22.25552,22.01545,21.82009,21.67541,21.13591,3918,301,3,193,955891039436776e4,STAR,-6.710014e-4,8490,57104,73
1237652947456360700,10.3608478834383,-10.1201447236837,19.83121,18.55855,18.51418,18.50309,18.57631,1740,301,3,90,738676136833214500,STAR,-4.628017e-4,656,52148,312
1237661976553652200,199.93861171201,7.93538917237287,17.30166,16.37973,16.07863,15.97017,15.94601,3842,301,5,125,2023413732025067500,STAR,3.6706e-4,1797,54507,624
1237680245742830300,5.23841928893575,19.3880254491876,21.91752,22.09936,20.40067,19.31271,18.44132,8096,301,2,261,6958168457507789e3,STAR,2.739503e-5,6180,56301,389
1237657608576434400,134.11864209094,45.289678684872,22.63021,20.65007,19.1225,18.24417,17.76347,2825,301,5,194,1.0100499078866801e+018,STAR,-3.361118e-5,897,52605,428
1237663788491473700,117.266237419443,50.9728756571424,25.128,21.85782,21.42057,21.32006,21.24935,4264,301,4,102,4142306241191106600,STAR,3.103041e-5,3679,55209,438
1237653665259585800,151.693730052164,2.33550766948265,20.14012,18.56725,17.82948,17.52348,17.43344,1907,301,4,194,3667106656128442400,STAR,8.377687e-5,3257,54888,184
1237671260123038500,129.399080938295,9.04013023589218,21.466919999999998,20.27286,19.87819,19.72057,19.80549,6004,301,1,88,5949336570033363e3,STAR,4.685761e-5,5284,55866,296
1237667541217116200,150.962643001033,20.5801539720618,18.81737,17.59944,17.09213,16.87947,16.80449,5138,301,2,71,3579320272404193300,STAR,5.754815e-4,3179,54830,307
1237660241923015e3,47.1245783963558,1.03163919401655,21.36186,19.89425,19.2853,18.96262,18.7642,3438,301,6,114,2328505100181465e3,STAR,-4.355993e-4,2068,53386,524
